locale,key,master,existing
az,app.randomActivityRestarting,"Mevcut rastgele etkinlik yeniden başlatılıyor...","[AZ-TRANSLATION-NEEDED]"
az,categories.objectsIntl.noCuratedSet,"Bu kategori için henüz özel bir set yok.","[AZ-TRANSLATION-NEEDED]"
az,common.next,"Sonraki","[AZ-TRANSLATION-NEEDED]"
az,common.previous,"Önceki","[AZ-TRANSLATION-NEEDED]"
az,communication.addToBasket,"Sepete Ekle","[AZ-TRANSLATION-NEEDED]"
az,communication.basketEmpty,"Sepetiniz Boş","[AZ-TRANSLATION-NEEDED]"
az,communication.basketEmptyHelp,"Yazdırmak istediğiniz kartları eklemek için kategorilere geri dönün.","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.duygular,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.esyalar,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.eylemler,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.hayvanlar,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.ihtiyaclar,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.kisiler,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.tasitlar,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.categories.yerler,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.clear,"Temizle","[AZ-TRANSLATION-NEEDED]"
az,communication.clearBasketAria,"Sepeti Temizle","[AZ-TRANSLATION-NEEDED]"
az,communication.clearSentenceAria,"Cümleyi temizle","[AZ-TRANSLATION-NEEDED]"
az,communication.composeHint,"Cümle oluşturmak için kartlara dokunun.","[AZ-TRANSLATION-NEEDED]"
az,communication.finishSelection,"Seçimi Bitir","[AZ-TRANSLATION-NEEDED]"
az,communication.finishSelectionAria,"Kart seçimini bitir","[AZ-TRANSLATION-NEEDED]"
az,communication.printBasketTitle,"Yazdırma Sepeti","[AZ-TRANSLATION-NEEDED]"
az,communication.printHint,"Sepete eklemek için kartlara dokunun.","[AZ-TRANSLATION-NEEDED]"
az,communication.printPoolLimitTooMany,"Yazdırmak için en fazla 9 kart seçebilirsiniz. Lütfen bazı kartları çıkarın.","[AZ-TRANSLATION-NEEDED]"
az,communication.printPoolLimitWarning,"Sepetiniz dolmak üzere veya dolu. En fazla 9 kart ekleyebilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,communication.printSelectedAria,"Seçili Kartları Yazdır","[AZ-TRANSLATION-NEEDED]"
az,communication.printSelectionCount,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,communication.printSelectionHelp,"Sepete eklemek istediğiniz kartları seçin.","[AZ-TRANSLATION-NEEDED]"
az,communication.removeFromBasket,"kartını sepetten çıkar","[AZ-TRANSLATION-NEEDED]"
az,communication.selectCardsForCategory,"""{title}"" için Kart Seç","[AZ-TRANSLATION-NEEDED]"
az,communication.selectForPrintAria,"Yazdırmak için kart seç","[AZ-TRANSLATION-NEEDED]"
az,communication.speakSentenceAria,"Cümleyi seslendir","[AZ-TRANSLATION-NEEDED]"
az,communication.subtitle,"Resim değişimi ile iletişim kurma sistemi - ihtiyaçlarınızı ifade edin.","[AZ-TRANSLATION-NEEDED]"
az,communication.title,"Görsel İletişim Kartları","[AZ-TRANSLATION-NEEDED]"
az,completion.heading,"Tebrikler!","[AZ-TRANSLATION-NEEDED]"
az,completion.home,"Ana Menü","[AZ-TRANSLATION-NEEDED]"
az,completion.msg.high,"Harika iş çıkardın!","[AZ-TRANSLATION-NEEDED]"
az,completion.msg.low,"Tekrar denemeye ne dersin?","[AZ-TRANSLATION-NEEDED]"
az,completion.msg.mid,"Çok iyi gidiyorsun!","[AZ-TRANSLATION-NEEDED]"
az,completion.restart,"Tekrar Oyna","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.aliveLifeless,"Canlı / Cansız","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.beforeAfter,"Önce / Sonra","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.belowAbove,"Aşağıda / Yukarıda","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.besideOpposite,"Yan yana / Karşı karşıya","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.between,"Arasında","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.bigSmall,"Büyük / Küçük","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.bitterSweet,"Acı / Tatlı","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.brokenIntact,"Kırık / Sağlam","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.cleanDirty,"Temiz / Kirli","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.colors,"Renkler","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.dayNight,"Gündüz / Gece","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.derinSig,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.dikenliPuruzsuz,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.dugumCozuk,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.emotions,"Duygular","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.fastSlow,"Hızlı / Yavaş","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.fewMuch,"Az / Çok","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.fullEmpty,"Dolu / Boş","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.halfQuarterWhole,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.hardSoft,"Sert / Yumuşak","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.heavyLight,"Ağır / Hafif","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.highLow,"Yüksek / Alçak","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.hotCold,"Sıcak / Soğuk","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.hungryFull,"Aç / Tok","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.inFrontOfBehind,"Önde / Arkada","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.insideOutside,"İçeride / Dışarıda","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.kalabalikTenha,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.kirisikDuzgun,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.leftRight,"Sol / Sağ","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.longShort,"Uzun / Kısa","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.messyClean,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.nearFar,"Yakın / Uzak","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.oddEven,"Tek / Çift","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.oldNew,"Eski / Yeni","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.onUnder,"Üstünde / Altında","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.openClosed,"Açık / Kapalı","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.parlakMat,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.roughSmooth,"Pürüzlü / Pürüzsüz","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.seffafOpak,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.senses,"Duyularımız","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.shapes,"Şekiller","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.sivriKut,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.straightCurved,"Düz / Eğri","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.tazeBayat,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.tembelCaliskan,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.tersDuz,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.thinThick,"İnce / Kalın","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.wetDry,"Islak / Kuru","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.wideNarrow,"Geniş / Dar","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.yesNo,"Evet / Hayır","[AZ-TRANSLATION-NEEDED]"
az,concepts.activities.youngOld,"Genç / Yaşlı","[AZ-TRANSLATION-NEEDED]"
az,concepts.basic,"Temel","[AZ-TRANSLATION-NEEDED]"
az,concepts.dimensional,"Boyutsal","[AZ-TRANSLATION-NEEDED]"
az,concepts.location,"Konum","[AZ-TRANSLATION-NEEDED]"
az,concepts.quantity,"Miktar","[AZ-TRANSLATION-NEEDED]"
az,concepts.state,"Durum","[AZ-TRANSLATION-NEEDED]"
az,concepts.tactile,"Dokunsal","[AZ-TRANSLATION-NEEDED]"
az,concepts.time,"Zaman","[AZ-TRANSLATION-NEEDED]"
az,consent.accept,"Kabul Ediyorum","[AZ-TRANSLATION-NEEDED]"
az,consent.body,"Uygulamayı kullanmaya devam etmek için Gizlilik Politikası'nı kabul etmeniz gerekir. Kişisel veriler toplamıyoruz; oyun ilerlemeniz ve ayarlarınız yalnızca cihazınızda saklanır. Ücretsiz sürümde kişiselleştirilmemiş reklamlar gösterilebilir.","[AZ-TRANSLATION-NEEDED]"
az,consent.title,"Gizlilik Sözleşmesi","[AZ-TRANSLATION-NEEDED]"
az,consent.viewPolicy,"Gizlilik Politikası'nı Oku","[AZ-TRANSLATION-NEEDED]"
az,feedback.rightPrefix,"Doğru, bu","[AZ-TRANSLATION-NEEDED]"
az,letters.couldNotCreateForLetter,"'{letter}' harfi için bu etkinlik oluşturulamadı.","[AZ-TRANSLATION-NEEDED]"
az,letters.groups,"Gruplar","[AZ-TRANSLATION-NEEDED]"
az,letters.letters,"Harfler","[AZ-TRANSLATION-NEEDED]"
az,letters.noWordsForGroup,"Bu grup için kelime bulunamadı.","[AZ-TRANSLATION-NEEDED]"
az,letters.syllableRestarting,"Hece etkinliği yeniden başlatılıyor...","[AZ-TRANSLATION-NEEDED]"
az,lineTracing.instruction,"Parmağınla çizgiyi takip et. Çizginin üzerinde kal!","[AZ-TRANSLATION-NEEDED]"
az,menu.achievements.categories.fineMotor,"İnce Motor Beceriler","[AZ-TRANSLATION-NEEDED]"
az,menu.achievements.fineMotor.lineTracing,"Çizgi Takip","[AZ-TRANSLATION-NEEDED]"
az,menu.achievements.fineMotor.rhythmFollowing,"Ritim Takip","[AZ-TRANSLATION-NEEDED]"
az,menu.achievements.fineMotor.shapeColoring,"Şekil Boyama","[AZ-TRANSLATION-NEEDED]"
az,menu.appTitle,"İlk Sözüm: Otizm & Okul Öncesi","[AZ-TRANSLATION-NEEDED]"
az,menu.concepts.subtitle,"Renkleri, şekilleri ve zıt kavramları öğren.","[AZ-TRANSLATION-NEEDED]"
az,menu.concepts.title,"Kavram Etkinlikleri","[AZ-TRANSLATION-NEEDED]"
az,menu.fineMotor.subtitle,"Çizgi Takip, Boyama ve daha fazlası","[AZ-TRANSLATION-NEEDED]"
az,menu.fineMotor.title,"İnce Motor","[AZ-TRANSLATION-NEEDED]"
az,menu.hello,"Merhaba","[AZ-TRANSLATION-NEEDED]"
az,menu.letterSound.subtitle,"Harfleri ve sesleri öğren, hecele ve oku.","[AZ-TRANSLATION-NEEDED]"
az,menu.letterSound.title,"Harf ve Sesler","[AZ-TRANSLATION-NEEDED]"
az,menu.objects.subtitle,"Hayvanları, meyveleri ve daha fazlasını öğren.","[AZ-TRANSLATION-NEEDED]"
az,menu.objects.title,"Nesneleri Tanıyalım","[AZ-TRANSLATION-NEEDED]"
az,menu.parentTips.subtitle,"Uygulamayı daha verimli kullanın","[AZ-TRANSLATION-NEEDED]"
az,menu.parentTips.title,"Ebeveynler İçin İpuçları","[AZ-TRANSLATION-NEEDED]"
az,menu.random.subtitle,"Seçili etkinliklerden karışık oyna","[AZ-TRANSLATION-NEEDED]"
az,menu.random.title,"Rastgele Mod","[AZ-TRANSLATION-NEEDED]"
az,menu.reasoning.subtitle,"Hafıza, sudoku ve mantık oyunları oyna.","[AZ-TRANSLATION-NEEDED]"
az,menu.reasoning.title,"Akıl Oyunları","[AZ-TRANSLATION-NEEDED]"
az,objects.activityRestarting,"Nesne etkinliği yeniden başlatılıyor...","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.bina,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.bitki,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.doğa olayı,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.doğal nesne,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.doğal yapı,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.eglence,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.ev,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.ev_esya,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.giysi,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.hayvan,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.insan,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.meyve,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.mutfak,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.muzik_aleti,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.okul_esya,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.oyuncak,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.profession,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.sebze,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.tamir_aleti,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.ulasim,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.uzay,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.vücut,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.yer,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.categories.yiyecek,"[AZ-TRANSLATION-NEEDED]","[AZ-TRANSLATION-NEEDED]"
az,objects.noTestForCategory,"Bu kategori için test oluşturulamadı.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.attemptsLabel,"deneme","[AZ-TRANSLATION-NEEDED]"
az,parentReport.bestPerforming,"En Başarılı Alanlar (Özet)","[AZ-TRANSLATION-NEEDED]"
az,parentReport.errorLabel,"Hata","[AZ-TRANSLATION-NEEDED]"
az,parentReport.fullReport,"Tüm Etkinlik Raporu","[AZ-TRANSLATION-NEEDED]"
az,parentReport.goBackAria,"Geri dön","[AZ-TRANSLATION-NEEDED]"
az,parentReport.mostChallenging,"En Çok Zorlanılanlar (Özet)","[AZ-TRANSLATION-NEEDED]"
az,parentReport.noChallengesFound,"Belirgin bir zorluk alanı bulunamadı. Harika gidiyor!","[AZ-TRANSLATION-NEEDED]"
az,parentReport.noRecentActivities,"Henüz bir etkinlik tamamlanmadı.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.noSuccessDataYet,"Başarı verileri toplamak için daha fazla etkinlik tamamlanmalı.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.recentActivities,"Son Aktiviteler","[AZ-TRANSLATION-NEEDED]"
az,parentReport.recommendationFocusOn,"Çocuğunuzun en çok zorlandığı ""{activityName}"" etkinliği üzerine odaklanarak başlayabilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.recommendationGeneral,"Öğrenme yolculuğuna devam edin! Farklı kategorilerden etkinlikler deneyerek yeni beceriler kazanmasına yardımcı olabilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.recommendationModel,"Bu etkinliği tekrar oynarken ona model olabilir ve doğru cevapları birlikte bulabilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.recommendationReinforce,"Çocuğunuz ""{activityName}"" konusunda çok başarılı! Bu alandaki özgüvenini pekiştirmek için benzer etkinlikleri deneyebilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentReport.recommendations,"Öneriler","[AZ-TRANSLATION-NEEDED]"
az,parentReport.successLabel,"Başarı","[AZ-TRANSLATION-NEEDED]"
az,parentReport.title,"Gelişim Raporu","[AZ-TRANSLATION-NEEDED]"
az,parentReport.viewAchievementsAria,"Başarımları Görüntüle","[AZ-TRANSLATION-NEEDED]"
az,parentTips.communication.text,"Çocuğunuzun ihtiyaçlarını, duygularını veya isteklerini ifade etmesine yardımcı olmak için İletişim Kartları bölümünü kullanın.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.communication.title,"İletişim Kartları","[AZ-TRANSLATION-NEEDED]"
az,parentTips.customize.text,"Ayarlar'daki Etkinlik Yönetimi'ni kullanarak belirli becerilere odaklanın veya çocuğunuzun henüz hazır olmadığı etkinlikleri geçici olarak devre dışı bırakın.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.customize.title,"Etkinlikleri Özelleştirin","[AZ-TRANSLATION-NEEDED]"
az,parentTips.extra.practice.text,"Yakında çocuğunuzun en çok zorlandığı etkinliklere göre bir 'Alıştırma Oturumu' başlatabileceksiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.extra.practice.title,"Alıştırma Modu (Yakında)","[AZ-TRANSLATION-NEEDED]"
az,parentTips.extra.title,"Ek İpuçları","[AZ-TRANSLATION-NEEDED]"
az,parentTips.guide,"Uygulama Rehberi","[AZ-TRANSLATION-NEEDED]"
az,parentTips.learnTogether.text,"Etkinlikleri çocuğunuzla birlikte yapın. Nesnelerin isimlerini tekrar edin ve onlar hakkında sorular sorun (""Bu hayvan nerede yaşar?"", ""Bu meyvenin tadı nasıldır?""). Bu, dil gelişimini destekler ve bağınızı güçlendirir.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.learnTogether.title,"Birlikte Öğrenin","[AZ-TRANSLATION-NEEDED]"
az,parentTips.profile.text,"Uygulama ilk açılışta otomatik olarak ""Misafir"" profili oluşturur. Birden fazla çocuğu ayrı ayrı takip etmek isterseniz, Ayarlar menüsünden yeni profiller oluşturabilir veya mevcut profiller arasında geçiş yapabilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.profile.title,"Profil Yönetimi (Opsiyonel)","[AZ-TRANSLATION-NEEDED]"
az,parentTips.progress.achievements.text,"Çocuğunuzun hangi kategorilerde ustalaştığını gösterir. Bir etkinliği 3 kez mükemmel tamamlayarak rozet kazanın!","[AZ-TRANSLATION-NEEDED]"
az,parentTips.progress.achievements.title,"Başarımlar Sekmesi","[AZ-TRANSLATION-NEEDED]"
az,parentTips.progress.report.text,"Çocuğunuz için en zorlayıcı ve en başarılı etkinlikleri vurgular.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.progress.report.title,"İlerleme Raporu","[AZ-TRANSLATION-NEEDED]"
az,parentTips.progress.title,"İlerlemeyi Takip Edin","[AZ-TRANSLATION-NEEDED]"
az,parentTips.randomMode.text,"Farklı kategorilerden tüm etkinleştirilmiş egzersizlerin karışık bir seçkisini sunar ve öğrenmeyi eğlenceli bir şekilde pekiştirir.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.randomMode.title,"Rastgele Modu Deneyin","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.ban.text,"Çocuğunuz bir görseli sevmiyorsa, Ayarlar'dan ""Görüntüyü Yasakla"" seçeneğini etkinleştirip etkinliklerdeki yasakla düğmesini kullanarak o görseli daha sonra gizleyebilirsiniz.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.ban.title,"Görüntüyü Yasakla","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.fastMode.text,"Geri bildirimleri kısaltır ve etkinlikler arasındakı geçişleri hızlandırır.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.fastMode.title,"Hızlı Mod","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.themed.text,"Uygulamanın görünümünü değiştirin. 'Temalı' mod hareketli arka planlara sahiptir, 'Sade' mod ise daha yumuşak bir palet sunar.","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.themed.title,"Temalı Arayüz","[AZ-TRANSLATION-NEEDED]"
az,parentTips.settings.title,"Ayarları Keşfedin","[AZ-TRANSLATION-NEEDED]"
az,questions.q_does_this_have_sound,"Bu ses çıkarır mı?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_put_apple_right_of_basket,"Elmayı sepetin sağına koy.","[AZ-TRANSLATION-NEEDED]"
az,questions.q_put_ball_in_box,"Topu kutunun içine koy.","[AZ-TRANSLATION-NEEDED]"
az,questions.q_put_book_on_table,"Kitabı masanın üstüne koy.","[AZ-TRANSLATION-NEEDED]"
az,questions.q_put_car_left_of_house,"Arabayı evin soluna koy.","[AZ-TRANSLATION-NEEDED]"
az,questions.q_put_shoe_under_bed,"Ayakkabıyı yatağın altına koy.","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_after_socks,"Çoraptan sonra ne giyeriz?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_brush_teeth_with,"Dişlerimizi ne ile fırçalarız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_color_picture_with,"Resmi ne ile boyarız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_eat_pasta_with,"Makarnayı ne ile yeriz?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_eat_soup_with,"Çorbayı ne ile içeriz?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_hammer_nail_with,"Çiviyi neyle çakarız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_open_door_with,"Kapıyı ne ile açarız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_what_write_paper_with,"Kağıda ne ile yazarız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_where_put_money,"Parayı nereye koyarız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_where_use_pillow,"Yastığı nerede kullanırız?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_are_beside,"Hangileri yan yana?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_are_opposite,"Hangileri karşı karşıya?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_faces_left,"Hangisi sola bakıyor?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_faces_right,"Hangisi sağa bakıyor?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_above,"Hangisi yukarıda?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_after,"Hangisi sonra?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_alive,"Hangisi canlı?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_before,"Hangisi önce?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_behind,"Hangisi arkada?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_below,"Hangisi aşağıda?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_between,"Hangisi arasında?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_big,"Hangisi büyük?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_bitter,"Hangisi acı?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_blunt,"Hangisi küt?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_broken,"Hangisi kırık?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_clean,"Hangisi temiz?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_closed,"Hangisi kapalı?","[AZ-TRANSLATION-NEEDED]"
az,questions.q_which_is_cold,"Hangisi soğuk?","[AZ-TRANSLATION-NEEDED]"
