key,issue,langValue,enValue,trValue
q_what_open_door_with,same-as-tr,"Kapıyı ne ile açarız?","What do we open a door with?","Kapıyı ne ile açarız?"
q_what_people_who_cant_see_far_wear,same-as-tr,"Uzağı göremeyenler ne takar?","What do people who can't see far away wear?","Uzağı göremeyenler ne takar?"
q_what_put_on_birthday_cake_and_blow,same-as-tr,"Doğum günü pastasına ne konur ve üflenir?","What do we put on a birthday cake and blow out?","Doğum günü pastasına ne konur ve üflenir?"
q_what_put_stuff_in_when_going_to_school,same-as-tr,"Okula giderken eşyalar neye konur?","What do we put our things in when we go to school?","Okula giderken eşyalar neye konur?"
q_what_put_under_head_when_sleeping,same-as-tr,"Uyurken başımızın altına ne koyarız?","What do we put under our head when sleeping?","Uyurken başımızın altına ne koyarız?"
q_what_spread_on_bread_for_breakfast,same-as-tr,"Kahvaltıda ekmeğe ne sürülür?","What do we spread on bread for breakfast?","Kahvaltıda ekmeğe ne sürülür?"
q_what_squeeze_on_salad_for_sour_taste,same-as-tr,"Ekşi tat için salataya ne sıkılır?","What do we squeeze on a salad for a sour taste?","Ekşi tat için salataya ne sıkılır?"
q_what_stick_on_letter_to_mail,same-as-tr,"Mektuba ne yapıştırılır?","What do we stick on a letter to mail it?","Mektuba ne yapıştırılır?"
q_what_use_for_soup,same-as-tr,"Çorba için ne kullanılır?","What do we use for soup?","Çorba için ne kullanılır?"
q_what_use_to_fix_messy_hair,same-as-tr,"Dağınık saçı düzeltmek için ne kullanılır?","What do we use to fix messy hair?","Dağınık saçı düzeltmek için ne kullanılır?"
q_what_use_to_hammer_nail_on_wall,same-as-tr,"Duvara çivi çakmak için ne kullanılır?","What do we use to hammer a nail into the wall?","Duvara çivi çakmak için ne kullanılır?"
q_what_use_to_paint,same-as-tr,"Resim yapmak için ne kullanılır?","What do we use to paint?","Resim yapmak için ne kullanılır?"
q_what_use_to_tie_hair,same-as-tr,"Saçımızı ne ile bağlarız?","What do we use to tie our hair?","Saçımızı ne ile bağlarız?"
q_what_wash_hands_with,same-as-tr,"Ellerimizi ne ile yıkarız?","What do we wash our hands with?","Ellerimizi ne ile yıkarız?"
q_what_wear_on_feet_when_going_out,same-as-tr,"Dışarı çıkarken ayağa ne giyilir?","What do we wear on our feet when we go out?","Dışarı çıkarken ayağa ne giyilir?"
q_what_write_paper_with,same-as-tr,"Kağıda ne ile yazarız?","What do we write on paper with?","Kağıda ne ile yazarız?"
q_when_bears_hibernate,same-as-tr,"Ayılar ne zaman kış uykusuna yatar?","When do bears hibernate?","Ayılar ne zaman kış uykusuna yatar?"
q_when_blow_out_candles_on_cake,same-as-tr,"Pastadaki mumları ne zaman üfleriz?","When do we blow out the candles on a cake?","Pastadaki mumları ne zaman üfleriz?"
q_when_eat,same-as-tr,"Ne zaman yemek yeriz?","When do we eat?","Ne zaman yemek yeriz?"
q_when_make_snowman,same-as-tr,"Ne zaman kardan adam yapılır?","When do we make a snowman?","Ne zaman kardan adam yapılır?"
q_when_roosters_crow,same-as-tr,"Horozlar ne zaman öter?","When do roosters crow?","Horozlar ne zaman öter?"
q_when_see_owls,same-as-tr,"Baykuşlar ne zaman görülür?","When do we see owls?","Baykuşlar ne zaman görülür?"
q_when_see_stars_in_sky,same-as-tr,"Gökyüzünde ne zaman yıldızları görürüz?","When do we see stars in the sky?","Gökyüzünde ne zaman yıldızları görürüz?"
q_when_see_sun_in_sky,same-as-tr,"Gökyüzünde ne zaman güneşi görürüz?","When do we see the sun in the sky?","Gökyüzünde ne zaman güneşi görürüz?"
q_when_sleep,same-as-tr,"Ne zaman uyuruz?","When do we sleep?","Ne zaman uyuruz?"
q_when_turn_on_light_in_room,same-as-tr,"Odanın ışığını ne zaman açarız?","When do we turn on the light in a room?","Odanın ışığını ne zaman açarız?"
q_when_use_umbrella,same-as-tr,"Ne zaman şemsiye kullanırız?","When do we use an umbrella?","Ne zaman şemsiye kullanırız?"
q_when_usually_go_to_beach,same-as-tr,"Genellikle ne zaman plaja gidilir?","When do we usually go to the beach?","Genellikle ne zaman plaja gidilir?"
q_when_usually_go_to_bed,same-as-tr,"Genellikle ne zaman yatağa gideriz?","When do we usually go to bed?","Genellikle ne zaman yatağa gideriz?"
q_when_usually_wear_shorts,same-as-tr,"Genellikle ne zaman şort giyeriz?","When do we usually wear shorts?","Genellikle ne zaman şort giyeriz?"
q_when_wash_hands,same-as-tr,"Ne zaman ellerimizi yıkarız?","When do we wash our hands?","Ne zaman ellerimizi yıkarız?"
q_when_wear_beanie_when_cold,same-as-tr,"Soğukta ne zaman bere takarız?","When do we wear a beanie when it's cold?","Soğukta ne zaman bere takarız?"
q_when_wear_gloves_when_hands_cold,same-as-tr,"Ellerimiz üşüdüğünde ne zaman eldiven giyeriz?","When do we wear gloves when our hands are cold?","Ellerimiz üşüdüğünde ne zaman eldiven giyeriz?"
q_where_bears_usually_live,same-as-tr,"Ayılar genellikle nerede yaşar?","Where do bears usually live?","Ayılar genellikle nerede yaşar?"
q_where_birds_lay_eggs,same-as-tr,"Kuşlar yumurtalarını nereye yapar?","Where do birds lay their eggs?","Kuşlar yumurtalarını nereye yapar?"
q_where_buy_food_for_home,same-as-tr,"Ev için yiyecek nereden alınır?","Where do we buy food for home?","Ev için yiyecek nereden alınır?"
q_where_camels_usually_live,same-as-tr,"Develer genellikle nerede yaşar?","Where do camels usually live?","Develer genellikle nerede yaşar?"
q_where_cars_go,same-as-tr,"Arabalar nerede gider?","Where do cars go?","Arabalar nerede gider?"
q_where_cook_cooks,same-as-tr,"Aşçı nerede yemek pişirir?","Where does the cook cook?","Aşçı nerede yemek pişirir?"
q_where_doctors_work,same-as-tr,"Doktorlar nerede çalışır?","Where do doctors work?","Doktorlar nerede çalışır?"
q_where_eat_out_with_family,same-as-tr,"Aileyle dışarıda nerede yemek yenir?","Where do we eat out with family?","Aileyle dışarıda nerede yemek yenir?"
q_where_fish_live,same-as-tr,"Balıklar nerede yaşar?","Where do fish live?","Balıklar nerede yaşar?"
q_where_go_to_sunbathe_and_swim_in_summer,same-as-tr,"Yazın güneşlenmek ve yüzmek için nereye gideriz?","Where do we go to sunbathe and swim in the summer?","Yazın güneşlenmek ve yüzmek için nereye gideriz?"
q_where_go_to_swing,same-as-tr,"Sallanmak için nereye gideriz?","Where do we go to swing?","Sallanmak için nereye gideriz?"
q_where_is_place_with_lots_of_books,same-as-tr,"Çok kitabın olduğu yer neresidir?","Where is the place with lots of books?","Çok kitabın olduğu yer neresidir?"
q_where_planes_fly,same-as-tr,"Uçaklar nerede uçar?","Where do planes fly?","Uçaklar nerede uçar?"
q_where_put_clean_clothes,same-as-tr,"Temiz kıyafetleri nereye koyarız?","Where do we put clean clothes?","Temiz kıyafetleri nereye koyarız?"
q_where_put_money,same-as-tr,"Parayı nereye koyarız?","Where do we put money?","Parayı nereye koyarız?"
q_where_set_up_tent_for_camping,same-as-tr,"Kamp için çadır nereye kurulur?","Where do we set up a tent for camping?","Kamp için çadır nereye kurulur?"
q_where_ships_sail,same-as-tr,"Gemiler nerede yüzer?","Where do ships sail?","Gemiler nerede yüzer?"
q_where_sleep_at_night,same-as-tr,"Geceleri nerede uyuruz?","Where do we sleep at night?","Geceleri nerede uyuruz?"
q_where_teachers_teach,same-as-tr,"Öğretmenler nerede ders verir?","Where do teachers teach?","Öğretmenler nerede ders verir?"
q_where_use_pillow,same-as-tr,"Yastığı nerede kullanırız?","Where do we use a pillow?","Yastığı nerede kullanırız?"
q_which_are_beside,same-as-tr,"Hangileri yan yana?","Which ones are beside each other?","Hangileri yan yana?"
q_which_are_grapes_person,same-as-tr,"Hangileri üzüm?","Which ones are the grapes?","Hangileri üzüm?"
q_which_are_opposite,same-as-tr,"Hangileri karşı karşıya?","Which ones are opposite each other?","Hangileri karşı karşıya?"
q_which_faces_left,same-as-tr,"Hangisi sola bakıyor?","Which one faces left?","Hangisi sola bakıyor?"
q_which_faces_right,same-as-tr,"Hangisi sağa bakıyor?","Which one faces right?","Hangisi sağa bakıyor?"
q_which_is_above,same-as-tr,"Hangisi yukarıda?","Which one is above?","Hangisi yukarıda?"
q_which_is_after,same-as-tr,"Hangisi sonra gelir?","Which one comes after?","Hangisi sonra gelir?"
q_which_is_alive,same-as-tr,"Hangisi canlı?","Which one is alive?","Hangisi canlı?"
q_which_is_alive_person,same-as-en,"Who is alive?","Who is alive?","Who is alive?"
q_which_is_apple_person,same-as-tr,"Hangisi elma?","Which one is the apple?","Hangisi elma?"
q_which_is_arm_person,same-as-tr,"Hangisi kol?","Which one is the arm?","Hangisi kol?"
q_which_is_astronaut_person,same-as-tr,"Hangisi astronot?","Who is the astronaut?","Hangisi astronot?"
q_which_is_baby_person,same-as-tr,"Hangisi bebek?","Which one is the baby?","Hangisi bebek?"
q_which_is_bagel_person,same-as-tr,"Hangisi simit?","Which one is the bagel?","Hangisi simit?"
q_which_is_barber_person,same-as-tr,"Hangisi berber?","Who is the barber?","Hangisi berber?"
q_which_is_bee_person,same-as-tr,"Hangisi arı?","Which one is the bee?","Hangisi arı?"
q_which_is_before,same-as-tr,"Hangisi önce gelir?","Which one comes before?","Hangisi önce gelir?"
q_which_is_before_person,same-as-tr,"Hangisi önce?","Who is before?","Hangisi önce?"
q_which_is_behind,same-as-tr,"Hangisi arkada?","Which one is behind?","Hangisi arkada?"
q_which_is_below,same-as-tr,"Hangisi aşağıda?","Which one is below?","Hangisi aşağıda?"
q_which_is_between,same-as-tr,"Hangisi arasında?","Which one is between?","Hangisi arasında?"
q_which_is_big,same-as-tr,"Hangisi büyük?","Which one is big?","Hangisi büyük?"
q_which_is_big_person,same-as-tr,"Hangisi büyük?","Who is big?","Hangisi büyük?"
q_which_is_bird_person,same-as-tr,"Hangisi kuş?","Which one is the bird?","Hangisi kuş?"
q_which_is_bitter,same-as-tr,"Hangisi acı?","Which one is bitter?","Hangisi acı?"
q_which_is_bitter_person,same-as-tr,"Hangisi acı?","Who looks bitter?","Hangisi acı?"
q_which_is_blunt,same-as-tr,"Hangisi küt?","Which one is blunt?","Hangisi küt?"
q_which_is_broccoli_person,same-as-tr,"Hangisi brokoli?","Which one is the broccoli?","Hangisi brokoli?"
q_which_is_broken,same-as-tr,"Hangisi kırık?","Which one is broken?","Hangisi kırık?"
q_which_is_butterfly_person,same-as-tr,"Hangisi kelebek?","Which one is the butterfly?","Hangisi kelebek?"
q_which_is_cabbage_person,same-as-tr,"Hangisi lahana?","Which one is the cabbage?","Hangisi lahana?"
q_which_is_cactus_person,same-as-tr,"Hangisi kaktüs?","Which one is the cactus?","Hangisi kaktüs?"
q_which_is_carrot_person,same-as-tr,"Hangisi havuç?","Which one is the carrot?","Hangisi havuç?"
q_which_is_cat_person,same-as-tr,"Hangisi kedi?","Which one is the cat?","Hangisi kedi?"
q_which_is_cauliflower_person,same-as-tr,"Hangisi karnabahar?","Which one is the cauliflower?","Hangisi karnabahar?"
q_which_is_chef_person,same-as-tr,"Hangisi aşçı?","Who is the chef?","Hangisi aşçı?"
q_which_is_cherry_person,same-as-tr,"Hangisi kiraz?","Which one is the cherry?","Hangisi kiraz?"
q_which_is_clean,same-as-tr,"Hangisi temiz?","Which one is clean?","Hangisi temiz?"
q_which_is_clean_person,same-as-tr,"Hangisi temiz?","Who is clean?","Hangisi temiz?"
q_which_is_closed,same-as-tr,"Hangisi kapalı?","Which one is closed?","Hangisi kapalı?"
q_which_is_closed_person,same-as-tr,"Hangisi kapalı?","Whose mouth is closed?","Hangisi kapalı?"
q_which_is_cold,same-as-tr,"Hangisi soğuk?","Which one is cold?","Hangisi soğuk?"
q_which_is_color,same-as-tr,"Hangisi {color} renk?","Which one is {color}?","Hangisi {color} renk?"
q_which_is_corn_person,same-as-tr,"Hangisi mısır?","Which one is the corn?","Hangisi mısır?"
q_which_is_cotton_person,same-as-tr,"Hangisi pamuk?","Which one is the cotton?","Hangisi pamuk?"
q_which_is_crowded,same-as-tr,"Hangisi kalabalık?","Which one is crowded?","Hangisi kalabalık?"
q_which_is_curved,same-as-tr,"Hangisi eğri?","Which one is curved?","Hangisi eğri?"
q_which_is_daisy_person,same-as-tr,"Hangisi papatya?","Which one is the daisy?","Hangisi papatya?"
q_which_is_day,same-as-tr,"Hangisi gündüzü gösteriyor?","Which one shows daytime?","Hangisi gündüzü gösteriyor?"
q_which_is_day_person,same-as-tr,"Hangisi gündüz?","Who is in the day?","Hangisi gündüz?"
q_which_is_deep,same-as-tr,"Hangisi derin?","Which one is deep?","Hangisi derin?"
q_which_is_different,same-as-tr,"Hangisi farklı?","Which one is different?","Hangisi farklı?"
q_which_is_different_person,same-as-tr,"Hangisi farklı?","Who is different?","Hangisi farklı?"
q_which_is_dirty,same-as-tr,"Hangisi kirli?","Which one is dirty?","Hangisi kirli?"
q_which_is_doctor_person,same-as-tr,"Hangisi doktor?","Who is the doctor?","Hangisi doktor?"
q_which_is_dry,same-as-tr,"Hangisi kuru?","Which one is dry?","Hangisi kuru?"
q_which_is_dry_person,same-as-tr,"Hangisi kuru?","Who is dry?","Hangisi kuru?"
q_which_is_duck_person,same-as-tr,"Hangisi ördek?","Which one is the duck?","Hangisi ördek?"
q_which_is_ear_person,same-as-tr,"Hangisi kulak?","Which one is the ear?","Hangisi kulak?"
q_which_is_eggplant_person,same-as-tr,"Hangisi patlıcan?","Which one is the eggplant?","Hangisi patlıcan?"
q_which_is_elephant_person,same-as-tr,"Hangisi fil?","Which one is the elephant?","Hangisi fil?"
q_which_is_even,same-as-tr,"Hangisi çift sayı?","Which one is an even number?","Hangisi çift sayı?"
q_which_is_eye_person,same-as-tr,"Hangisi göz?","Which one is the eye?","Hangisi göz?"
q_which_is_family_person,same-as-tr,"Hangisi aile?","Which one is the family?","Hangisi aile?"
q_which_is_far,same-as-tr,"Hangisi uzak?","Which one is far?","Hangisi uzak?"
q_which_is_farmer_person,same-as-tr,"Hangisi çiftçi?","Who is the farmer?","Hangisi çiftçi?"
q_which_is_fast,same-as-tr,"Hangisi hızlı?","Which one is fast?","Hangisi hızlı?"
q_which_is_feather_person,same-as-tr,"Hangisi tüy?","Which one is the feather?","Hangisi tüy?"
q_which_is_few,same-as-tr,"Hangisinde az sayıda var?","Which one has a few?","Hangisinde az sayıda var?"
q_which_is_few_person,same-as-tr,"Hangisi az?","Which group has few people?","Hangisi az?"
q_which_is_firefighter_person,same-as-tr,"Hangisi itfaiyeci?","Who is the firefighter?","Hangisi itfaiyeci?"
q_which_is_fish_person,same-as-tr,"Hangisi balık?","Which one is the fish?","Hangisi balık?"
q_which_is_foot_person,same-as-tr,"Hangisi ayak?","Which one is the foot?","Hangisi ayak?"
q_which_is_fresh,same-as-tr,"Hangisi taze?","Which one is fresh?","Hangisi taze?"
q_which_is_full,same-as-tr,"Hangisi dolu?","Which one is full?","Hangisi dolu?"
q_which_is_giraffe_person,same-as-tr,"Hangisi zürafa?","Which one is the giraffe?","Hangisi zürafa?"
q_which_is_grandfather_person,same-as-tr,"Hangisi dede?","Who is the grandfather?","Hangisi dede?"
q_which_is_grandmother_person,same-as-tr,"Hangisi nine?","Who is the grandmother?","Hangisi nine?"
q_which_is_grass_person,same-as-tr,"Hangisi çimen?","Which one is the grass?","Hangisi çimen?"
q_which_is_hair_person,same-as-tr,"Hangisi saç?","Which one is the hair?","Hangisi saç?"
q_which_is_hand_person,same-as-tr,"Hangisi el?","Which one is the hand?","Hangisi el?"
q_which_is_hard,same-as-tr,"Hangisi sert?","Which one is hard?","Hangisi sert?"
q_which_is_hard_person,same-as-tr,"Hangisi sert?","Who is hard?","Hangisi sert?"
q_which_is_hardworking,same-as-tr,"Hangisi çalışkan?","Who is hardworking?","Hangisi çalışkan?"
q_which_is_heavy,same-as-tr,"Hangisi ağır?","Which one is heavy?","Hangisi ağır?"
q_which_is_higher,same-as-tr,"Hangisi daha yüksekte?","Which one is higher?","Hangisi daha yüksekte?"
q_which_is_hot,same-as-tr,"Hangisi sıcak?","Which one is hot?","Hangisi sıcak?"
q_which_is_hungry,same-as-tr,"Hangisi aç?","Who is hungry?","Hangisi aç?"
q_which_is_hungry_person,same-as-tr,"Hangisi aç?","Who is hungry?","Hangisi aç?"
q_which_is_ice_person,same-as-tr,"Hangisi buz?","Which one is the ice?","Hangisi buz?"
q_which_is_in_front,same-as-tr,"Hangisi önde?","Which one is in front?","Hangisi önde?"
q_which_is_inside,same-as-tr,"Hangisi içeride?","Which one is inside?","Hangisi içeride?"
q_which_is_intact,same-as-tr,"Hangisi sağlam?","Which one is intact?","Hangisi sağlam?"
q_which_is_king_person,same-as-tr,"Hangisi kral?","Who is the king?","Hangisi kral?"
q_which_is_kite_person,same-as-tr,"Hangisi uçurtma?","Which one is the kite?","Hangisi uçurtma?"
q_which_is_knotted,same-as-tr,"Hangisi düğümlü?","Which one is knotted?","Hangisi düğümlü?"
q_which_is_lazy,same-as-tr,"Hangisi tembel?","Who is lazy?","Hangisi tembel?"
q_which_is_lazy_person,same-as-tr,"Hangisi tembel?","Who is lazy?","Hangisi tembel?"
q_which_is_leaf_person,same-as-tr,"Hangisi yaprak?","Which one is the leaf?","Hangisi yaprak?"
q_which_is_left,same-as-tr,"Hangisi sola bakıyor?","Which one is looking left?","Hangisi sola bakıyor?"
q_which_is_leg_person,same-as-tr,"Hangisi bacak?","Which one is the leg?","Hangisi bacak?"
q_which_is_lemon_person,same-as-tr,"Hangisi limon?","Which one is the lemon?","Hangisi limon?"
q_which_is_lettuce_person,same-as-tr,"Hangisi marul?","Which one is the lettuce?","Hangisi marul?"
q_which_is_lifeless,same-as-tr,"Hangisi cansız?","Which one is lifeless?","Hangisi cansız?"
q_which_is_light,same-as-tr,"Hangisi hafif?","Which one is light?","Hangisi hafif?"
q_which_is_lion_person,same-as-tr,"Hangisi aslan?","Which one is the lion?","Hangisi aslan?"
q_which_is_long,same-as-tr,"Hangisi uzun?","Which one is long?","Hangisi uzun?"
q_which_is_long_person,same-as-tr,"Hangisi uzun?","Who is long?","Hangisi uzun?"
q_which_is_lower,same-as-tr,"Hangisi daha alçakta?","Which one is lower?","Hangisi daha alçakta?"
q_which_is_many,same-as-tr,"Hangisinde çok sayıda var?","Which one has many?","Hangisinde çok sayıda var?"
q_which_is_matte,same-as-tr,"Hangisi mat?","Which one is matte?","Hangisi mat?"
q_which_is_melon_person,same-as-tr,"Hangisi kavun?","Which one is the melon?","Hangisi kavun?"
q_which_is_messy,same-as-tr,"Hangisi dağınık?","Which one is messy?","Hangisi dağınık?"
q_which_is_mouth_person,same-as-tr,"Hangisi ağız?","Which one is the mouth?","Hangisi ağız?"
q_which_is_narrow,same-as-tr,"Hangisi dar?","Which one is narrow?","Hangisi dar?"
q_which_is_near,same-as-tr,"Hangisi yakın?","Which one is near?","Hangisi yakın?"
q_which_is_new,same-as-tr,"Hangisi yeni?","Which one is new?","Hangisi yeni?"
q_which_is_night,same-as-tr,"Hangisi geceyi gösteriyor?","Which one shows nighttime?","Hangisi geceyi gösteriyor?"
q_which_is_noisy,same-as-tr,"Hangisi gürültülü?","Which one is noisy?","Hangisi gürültülü?"
q_which_is_noisy_person,same-as-tr,"Hangisi gürültülü?","Who is noisy?","Hangisi gürültülü?"
q_which_is_notebook_person,same-as-tr,"Hangisi defter?","Which one is the notebook?","Hangisi defter?"
q_which_is_nurse_person,same-as-tr,"Hangisi hemşire?","Who is the nurse?","Hangisi hemşire?"
q_which_is_object,same-as-tr,"Hangisi nesne?","Which one is the object?","Hangisi nesne?"
q_which_is_odd,same-as-tr,"Hangisi tek sayı?","Which one is an odd number?","Hangisi tek sayı?"
q_which_is_old,same-as-tr,"Hangisi eski?","Which one is old?","Hangisi eski?"
q_which_is_old_person,same-as-tr,"Hangisi yaşlı?","Who is old?","Hangisi yaşlı?"
q_which_is_on,same-as-tr,"Hangisi bir şeyin üstünde?","Which one is on something?","Hangisi bir şeyin üstünde?"
q_which_is_on_person,same-as-tr,"Hangisi üstünde?","Who is on top?","Hangisi üstünde?"
q_which_is_onion_person,same-as-tr,"Hangisi soğan?","Which one is the onion?","Hangisi soğan?"
q_which_is_opaque,same-as-tr,"Hangisi opak?","Which one is opaque?","Hangisi opak?"
q_which_is_open,same-as-tr,"Hangisi açık?","Which one is open?","Hangisi açık?"
q_which_is_open_person,same-as-tr,"Hangisi açık?","Whose mouth is open?","Hangisi açık?"
q_which_is_orange_person,same-as-tr,"Hangisi portakal?","Which one is the orange?","Hangisi portakal?"
q_which_is_outside,same-as-tr,"Hangisi dışarıda?","Which one is outside?","Hangisi dışarıda?"
q_which_is_peach_person,same-as-tr,"Hangisi şeftali?","Which one is the peach?","Hangisi şeftali?"
q_which_is_pear_person,same-as-tr,"Hangisi armut?","Which one is the pear?","Hangisi armut?"
q_which_is_pepper_person,same-as-tr,"Hangisi biber?","Which one is the pepper?","Hangisi biber?"
q_which_is_pilot_person,same-as-tr,"Hangisi pilot?","Who is the pilot?","Hangisi pilot?"
q_which_is_pineapple_person,same-as-tr,"Hangisi ananas?","Which one is the pineapple?","Hangisi ananas?"
q_which_is_pointed,same-as-tr,"Hangisi sivri?","Which one is pointed?","Hangisi sivri?"
q_which_is_postman_person,same-as-tr,"Hangisi postacı?","Who is the postman?","Hangisi postacı?"
q_which_is_potato_person,same-as-tr,"Hangisi patates?","Which one is the potato?","Hangisi patates?"
